                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.51985,                0.33951,                0.87714,                0.95529,                0.93631,                0.97318,                0.84636,                0.53291,                0.30636,                 0.8313,               0.002476,               0.002476,               0.002476
                     78,                0.51905,                0.33939,                0.87545,                0.95538,                 0.9362,                0.97319,                0.84547,                0.53357,                0.30687,                0.83251,               0.002377,               0.002377,               0.002377
                     79,                0.51651,                0.33742,                0.87503,                0.95611,                0.93598,                0.97333,                0.84521,                0.53465,                0.30688,                0.83258,               0.002278,               0.002278,               0.002278
                     80,                0.51579,                0.33515,                0.87626,                0.95697,                0.93629,                0.97321,                 0.8459,                0.53297,                0.30534,                 0.8334,               0.002179,               0.002179,               0.002179
                     81,                0.51589,                0.33609,                0.87556,                0.95613,                0.93755,                0.97339,                0.84666,                0.53241,                0.30452,                0.83262,                0.00208,                0.00208,                0.00208
                     82,                0.51332,                0.33471,                0.87439,                0.95722,                0.93686,                0.97391,                 0.8472,                0.53128,                0.30457,                0.83258,               0.001981,               0.001981,               0.001981
                     83,                0.51415,                0.33408,                0.87399,                0.95559,                0.93695,                0.97379,                0.84687,                0.53128,                0.30465,                0.83084,               0.001882,               0.001882,               0.001882
                     84,                0.51314,                0.33331,                0.87427,                0.95736,                 0.9363,                 0.9738,                0.84678,                0.53166,                0.30446,                0.83082,               0.001783,               0.001783,               0.001783
                     85,                0.51339,                0.33304,                0.87472,                0.95665,                0.93654,                0.97386,                 0.8469,                0.53149,                0.30434,                0.83076,               0.001684,               0.001684,               0.001684
                     86,                0.51145,                 0.3314,                0.87383,                0.95533,                0.93706,                0.97389,                0.84699,                0.53089,                0.30426,                0.82933,               0.001585,               0.001585,               0.001585
                     87,                0.51167,                0.33017,                0.87418,                 0.9573,                0.93586,                0.97382,                 0.8474,                0.53079,                0.30413,                0.83015,               0.001486,               0.001486,               0.001486
                     88,                0.50698,                0.32822,                0.87166,                0.95544,                0.93705,                0.97402,                0.84735,                0.53039,                0.30348,                   0.83,               0.001387,               0.001387,               0.001387
                     89,                0.50657,                0.32686,                0.87311,                0.95719,                0.93676,                0.97399,                0.84747,                0.53068,                0.30357,                0.82976,               0.001288,               0.001288,               0.001288
                     90,                0.50836,                0.32704,                0.87397,                0.95728,                0.93664,                0.97421,                0.84763,                0.53128,                0.30339,                0.83012,               0.001189,               0.001189,               0.001189
                     91,                0.50554,                0.31108,                0.86445,                0.95667,                0.93731,                0.97412,                0.85119,                0.51184,                0.30097,                0.82694,                0.00109,                0.00109,                0.00109
                     92,                 0.5012,                0.30456,                 0.8622,                0.95584,                0.93721,                0.97388,                0.85218,                0.50608,                0.30033,                0.82623,               0.000991,               0.000991,               0.000991
                     93,                0.49745,                0.30218,                0.86057,                0.95511,                0.93809,                0.97365,                0.85301,                0.50362,                0.29961,                 0.8253,               0.000892,               0.000892,               0.000892
                     94,                0.49522,                0.29901,                0.86191,                0.95668,                0.93738,                0.97374,                 0.8532,                0.50201,                0.29851,                0.82551,               0.000793,               0.000793,               0.000793
                     95,                0.49816,                0.29926,                 0.8616,                0.95652,                0.93799,                0.97375,                0.85323,                0.50199,                0.29854,                0.82493,               0.000694,               0.000694,               0.000694
                     96,                0.49338,                0.29595,                0.85878,                0.95641,                0.93765,                0.97368,                0.85331,                0.50224,                 0.2983,                0.82412,               0.000595,               0.000595,               0.000595
                     97,                0.49328,                0.29523,                0.86006,                0.95673,                0.93756,                0.97355,                0.85332,                0.50259,                0.29804,                0.82407,               0.000496,               0.000496,               0.000496
                     98,                0.49269,                0.29378,                0.86013,                0.95694,                0.93744,                0.97345,                0.85301,                0.50267,                0.29811,                0.82422,               0.000397,               0.000397,               0.000397
                     99,                   0.49,                0.29141,                0.85845,                0.95712,                0.93741,                0.97345,                0.85309,                0.50284,                0.29787,                0.82485,               0.000298,               0.000298,               0.000298
                    100,                0.49014,                 0.2919,                0.85921,                0.95669,                 0.9374,                 0.9734,                0.85309,                0.50325,                0.29792,                0.82545,               0.000199,               0.000199,               0.000199
